store,city,product_id,name,brand,category,subcategory,price,sale_price,currency,quantity,unit,price_per_unit,in_stock,image_url,product_url,barcode,description,scraped_at,_store,_city,_scraped_at
chaseup,karachi,2312806,Delmonte Pitted Green Olives Jar 450Gm,,Grocery & Staples,,1330.0,,PKR,450.0,g,295.5556,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000292402.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2312805,Delmonte Sliced Green Olives Jar 450Gm,,Grocery & Staples,,1330.0,,PKR,450.0,g,295.5556,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000292404.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2312804,Loreto Pitted Black Olives 900Gm,,Grocery & Staples,,2100.0,,PKR,900.0,g,233.3333,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008179307.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2312803,Loreto Pitted Black Olives 230Gm,,Grocery & Staples,,804.0,,PKR,230.0,g,349.5652,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008179303.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2312802,Loreto Pitted Black Olives 142Gm,,Grocery & Staples,,606.0,,PKR,142.0,g,426.7606,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008179305.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2312801,Loreto Whole Green Olives 450Gm,,Grocery & Staples,,1284.0,,PKR,450.0,g,285.3333,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008179308.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2312800,Loreto Whole Green Olives 340Gm,,Grocery & Staples,,924.0,,PKR,340.0,g,271.7647,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008179300.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2312799,Loreto Sliced Black Olives 430Gm,,Grocery & Staples,,1248.0,,PKR,430.0,g,290.2326,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008179306.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2312798,Loreto Sliced Black Olives 330Gm,,Grocery & Staples,,924.0,,PKR,330.0,g,280.0,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008179302.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2312797,Loreto Sliced Black Olives 235Gm,,Grocery & Staples,,804.0,,PKR,235.0,g,342.1277,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008179304.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
