,alfatah,chaseup,imtiaz,metro,naheed,springs
alfatah,,,,,,
chaseup,,1.0,0.05539496773674774,,,
imtiaz,,0.05539496773674774,1.0,-0.5038938270546679,0.789561534162365,
metro,,,-0.5038938270546679,1.0,-0.06873715684094137,0.7638032331479099
naheed,,,0.789561534162365,-0.06873715684094137,1.0,0.9974654541736264
springs,,,,0.7638032331479099,0.9974654541736264,1.0
