,faisalabad,islamabad,karachi,lahore,multan
faisalabad,1.0,0.9825457695208673,0.9654303952519132,0.8026908097423974,0.962408138128788
islamabad,0.9825457695208673,1.0,0.9889415042888088,0.8615782872888625,0.9764734479429226
karachi,0.9654303952519132,0.9889415042888088,1.0,0.9675190878848757,0.9789605890546322
lahore,0.8026908097423974,0.8615782872888625,0.9675190878848757,1.0,0.8283917161791132
multan,0.962408138128788,0.9764734479429226,0.9789605890546322,0.8283917161791132,1.0
