,faisalabad,islamabad,karachi,lahore,multan
faisalabad,1.0,0.9678304016599347,0.9418783518198813,0.9458556038639397,0.9169535431224035
islamabad,0.9678304016599347,1.0,0.976273379379049,0.9575937825845692,0.9456713301967467
karachi,0.9418783518198813,0.976273379379049,1.0,0.9683550935043517,0.9406161491129135
lahore,0.9458556038639397,0.9575937825845692,0.9683550935043517,1.0,0.9458358332543999
multan,0.9169535431224035,0.9456713301967467,0.9406161491129135,0.9458358332543999,1.0
